 3696.00000, 10481.00000, 1566, 28611268,10.0 Wavelength region, lines selected, lines processed, Vmicro
                                                                     Lande factors       Damping parameters  Central
Spec Ion       WL_air(A)  log gf* E_low(eV) J lo E_up(eV)  J up  lower   upper    mean   Rad.   Stark  Waals  depth
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.20d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'S 3',         3717.7710, -0.190, 18.2438,  2.0, 21.5777,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.315,
'  LS                                                            3s2.3p.4s              3P*'
'  LS                                                              3s2.3p.4p             3S'
'_          Li 1 - K 5 Bell S+2              5 wl:KP   5 gf:KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP'
'Zn 3',        3720.2870,  0.628, 29.2136,  3.0, 32.5453,  4.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.023,
'  LS                                              3d9.5p                               3D*'
'  JK                                                   3d9.(2D<5/2>).5d             2[7/2]'
'_          Cu 1 - Ba 2 BellZn+2             6 wl:KP   6 gf:KP   6 KP   6 KP   6 KP   6 KP   6 KP   6 KP   6 KP'
'He 1',        3720.3160, -2.806, 21.2180,  1.0, 24.5497,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.050,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.19d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'He 2',        3720.4110, -1.954, 51.0168,  3.5, 54.3484,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.022,
'                                                                                       n=4'
'                                                                                      n=28'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'Cl 3',        3720.4540,  0.350, 22.2026,  1.5, 25.5342,  2.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.026,
'  LS                                                             3s2.3p2.(3P).4s        2P'
'  LS                                                             3s2.3p2.(3P).4p       2D*'
'_          Li 1 - K 5 Bell Cl+2             5 wl:KP   5 gf:KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP'
'O 3',         3720.8900, -0.265, 42.0137,  3.0, 45.3448,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.038,
'  LS                                                           2s.2p2.(4P).3s           5P'
'  LS                                                             2s.2p2.(4P).3p        5D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'Ne 2',        3721.8188, -0.600, 31.5124,  1.5, 34.8428,  2.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.031,
'  LS                                                       2s2.2p4.(3P).3p             2P*'
'  LS                                                         2s2.2p4.(3P).3d            2F'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10'
'H 1',         3721.9449, -1.974, 10.1988,  0.5, 13.5291,  1.0, 99.000, 99.000, 99.000, 8.000, 2.000,14.000, 0.337,
'                                                                                       n=2'
'                                                                                      n=14'
